classificacao,marca,plataforma,preco,qtd_classificacao,titulo,url
0,Genérica,Amazon,Preço não disponível,0,Título não disponível,URL não disponível
0,Macaw,Amazon,"128,00",0,Calça Jeans Feminina Skinny Cintura Alta Elastano,https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo3Nzg5NTUwMjc3NTc4NjAwOjE3MjgxNDM0OTU6c3BfYXRmX2Jyb3dzZTozMDAzNzIzMTM5MTI1MDI6OjA6Og&url=%2FFeminina-Cintura-Elastano-Num%25C3%25A9rico-Regular%2Fdp%2FB0D8R3YVNF%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.8bNRNymO0C7ADY51qa9Kgguy1OfqTT0N7G5_COf2HPLmSWwP-Scn_bzxpij7LYkDokaBzH5jVocZAY3cbE3sdImbrC4ziISzbExJiABYrDTNTtVapYYuYXu3UUiGCaBwpetgRpiK7lHbkq0CcAZ-ChWIT0RI6KfB7AVKuDf67XCLirxZS39jr-vKkDSzTKW0TW9I9_YqaQqQw4XSlnM0j1ZxWTwodAKsBu4WmBSbJZiM2RgO9QmJBiY4NnHtu07NwIlRLJTdHNNJ0a_xEEUgEOq_I13F-atLM1YR9TbG5Mk.r7PmyImQVyL0WsXKaHOvkDDB8cSvaPOenZSj1re8lQE%26dib_tag%3Dse%26qid%3D1728143495%26s%3Dapparel%26sr%3D1-1-spons%26ufe%3Dapp_do%253Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1
0,Pthirillo,Amazon,"54,99",0,Calça feminina skinny jeans em tom escuro - Jeans Escuro ref 3542VF,https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo3Nzg5NTUwMjc3NTc4NjAwOjE3MjgxNDM0OTU6c3BfYXRmX2Jyb3dzZTozMDA0NDM2NDY0MDQ2MDI6OjA6Og&url=%2FCal%25C3%25A7a-feminina-skinny-jeans-escuro%2Fdp%2FB0CK34ZVVM%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.8bNRNymO0C7ADY51qa9Kgguy1OfqTT0N7G5_COf2HPLmSWwP-Scn_bzxpij7LYkDokaBzH5jVocZAY3cbE3sdImbrC4ziISzbExJiABYrDTNTtVapYYuYXu3UUiGCaBwpetgRpiK7lHbkq0CcAZ-ChWIT0RI6KfB7AVKuDf67XCLirxZS39jr-vKkDSzTKW0TW9I9_YqaQqQw4XSlnM0j1ZxWTwodAKsBu4WmBSbJZiM2RgO9QmJBiY4NnHtu07NwIlRLJTdHNNJ0a_xEEUgEOq_I13F-atLM1YR9TbG5Mk.r7PmyImQVyL0WsXKaHOvkDDB8cSvaPOenZSj1re8lQE%26dib_tag%3Dse%26qid%3D1728143495%26s%3Dapparel%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1
"3,5 de 5 estrelas",Sawary,Amazon,"139,00",3,Calça Jeans Feminina Flare Sawary Bootcut Boca de Sino Lycra Elastano Original Moda Feminina,https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo3Nzg5NTUwMjc3NTc4NjAwOjE3MjgxNDM0OTU6c3BfYXRmX2Jyb3dzZTozMDAxMjUzNzk4NDY2MDI6OjA6Og&url=%2FFeminina-Sawary-Bootcut-Elastano-Original%2Fdp%2FB0CT243G5S%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.8bNRNymO0C7ADY51qa9Kgguy1OfqTT0N7G5_COf2HPLmSWwP-Scn_bzxpij7LYkDokaBzH5jVocZAY3cbE3sdImbrC4ziISzbExJiABYrDTNTtVapYYuYXu3UUiGCaBwpetgRpiK7lHbkq0CcAZ-ChWIT0RI6KfB7AVKuDf67XCLirxZS39jr-vKkDSzTKW0TW9I9_YqaQqQw4XSlnM0j1ZxWTwodAKsBu4WmBSbJZiM2RgO9QmJBiY4NnHtu07NwIlRLJTdHNNJ0a_xEEUgEOq_I13F-atLM1YR9TbG5Mk.r7PmyImQVyL0WsXKaHOvkDDB8cSvaPOenZSj1re8lQE%26dib_tag%3Dse%26qid%3D1728143495%26s%3Dapparel%26sr%3D1-3-spons%26ufe%3Dapp_do%253Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1
"4,6 de 5 estrelas",Sawary,Amazon,"139,00",13,Calça Jeans Feminina Sawary Boca de Sino Flare Boot Cut Lycra Elastano Confortável Moda Feminina Roupas Femininas,https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo3Nzg5NTUwMjc3NTc4NjAwOjE3MjgxNDM0OTU6c3BfYXRmX2Jyb3dzZTozMDAwMzAyNTMxNjUxMDI6OjA6Og&url=%2FFeminina-Sawary-Confort%25C3%25A1vel-Femininas-numeric_44%2Fdp%2FB0CFCVB9XY%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.8bNRNymO0C7ADY51qa9Kgguy1OfqTT0N7G5_COf2HPLmSWwP-Scn_bzxpij7LYkDokaBzH5jVocZAY3cbE3sdImbrC4ziISzbExJiABYrDTNTtVapYYuYXu3UUiGCaBwpetgRpiK7lHbkq0CcAZ-ChWIT0RI6KfB7AVKuDf67XCLirxZS39jr-vKkDSzTKW0TW9I9_YqaQqQw4XSlnM0j1ZxWTwodAKsBu4WmBSbJZiM2RgO9QmJBiY4NnHtu07NwIlRLJTdHNNJ0a_xEEUgEOq_I13F-atLM1YR9TbG5Mk.r7PmyImQVyL0WsXKaHOvkDDB8cSvaPOenZSj1re8lQE%26dib_tag%3Dse%26qid%3D1728143495%26s%3Dapparel%26sr%3D1-4-spons%26ufe%3Dapp_do%253Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1
"4,3 de 5 estrelas",BARUDI,Amazon,"78,90",31,Calça Jeans Feminina Branca Flare Enfermagem,https://www.amazon.com.br/Cal%C3%A7a-Jeans-Feminina-Branca-Enfermagem/dp/B0B8TJBFKD/ref=sr_1_5?dib=eyJ2IjoiMSJ9.8bNRNymO0C7ADY51qa9Kgguy1OfqTT0N7G5_COf2HPLmSWwP-Scn_bzxpij7LYkDokaBzH5jVocZAY3cbE3sdImbrC4ziISzbExJiABYrDTNTtVapYYuYXu3UUiGCaBwpetgRpiK7lHbkq0CcAZ-ChWIT0RI6KfB7AVKuDf67XCLirxZS39jr-vKkDSzTKW0TW9I9_YqaQqQw4XSlnM0j1ZxWTwodAKsBu4WmBSbJZiM2RgO9QmJBiY4NnHtu07NwIlRLJTdHNNJ0a_xEEUgEOq_I13F-atLM1YR9TbG5Mk.r7PmyImQVyL0WsXKaHOvkDDB8cSvaPOenZSj1re8lQE&dib_tag=se&qid=1728143495&s=apparel&sr=1-5
"4,4 de 5 estrelas",Genérico,Amazon,"80,90",118,Calça Jeans Skinny Feminina Cintura Alta Com Elastano Empina Levanta Bumbum Calças Premium,https://www.amazon.com.br/gp/bestsellers/fashion/17682117011/ref=sr_bs_5_17682117011_1
"4,4 de 5 estrelas",Genérico,Amazon,"103,90",149,Calça Jeans Feminina Cargo Jogger Cintura Alta Com Bolso Moda Casual Premium,https://www.amazon.com.br/Feminina-Jogger-Cintura-Casual-Premium/dp/B0D7MNSN3P/ref=sr_1_7?dib=eyJ2IjoiMSJ9.8bNRNymO0C7ADY51qa9Kgguy1OfqTT0N7G5_COf2HPLmSWwP-Scn_bzxpij7LYkDokaBzH5jVocZAY3cbE3sdImbrC4ziISzbExJiABYrDTNTtVapYYuYXu3UUiGCaBwpetgRpiK7lHbkq0CcAZ-ChWIT0RI6KfB7AVKuDf67XCLirxZS39jr-vKkDSzTKW0TW9I9_YqaQqQw4XSlnM0j1ZxWTwodAKsBu4WmBSbJZiM2RgO9QmJBiY4NnHtu07NwIlRLJTdHNNJ0a_xEEUgEOq_I13F-atLM1YR9TbG5Mk.r7PmyImQVyL0WsXKaHOvkDDB8cSvaPOenZSj1re8lQE&dib_tag=se&qid=1728143495&s=apparel&sr=1-7&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9
"4,6 de 5 estrelas",Almix,Amazon,"134,00",12,Kit 2 Calças Jeans Feminina Lycra,https://www.amazon.com.br/Cal%C3%A7as-Feminina-Cintura-Regular-Escuro/dp/B0D6CJCDN9/ref=sr_1_8?dib=eyJ2IjoiMSJ9.8bNRNymO0C7ADY51qa9Kgguy1OfqTT0N7G5_COf2HPLmSWwP-Scn_bzxpij7LYkDokaBzH5jVocZAY3cbE3sdImbrC4ziISzbExJiABYrDTNTtVapYYuYXu3UUiGCaBwpetgRpiK7lHbkq0CcAZ-ChWIT0RI6KfB7AVKuDf67XCLirxZS39jr-vKkDSzTKW0TW9I9_YqaQqQw4XSlnM0j1ZxWTwodAKsBu4WmBSbJZiM2RgO9QmJBiY4NnHtu07NwIlRLJTdHNNJ0a_xEEUgEOq_I13F-atLM1YR9TbG5Mk.r7PmyImQVyL0WsXKaHOvkDDB8cSvaPOenZSj1re8lQE&dib_tag=se&qid=1728143495&s=apparel&sr=1-8&ufe=app_do%3Aamzn1.fos.a492fd4a-f54d-4e8d-8c31-35e0a04ce61e
"3,9 de 5 estrelas",Patria Brasil Jeans,Amazon,"99,90",22,Calça Jeans Flare Feminina Cintura Alta Elastano Blogueira,https://www.amazon.com.br/Jeans-Feminina-Elastano-Blogueira-Num%C3%A9rico/dp/B0CKCMVCRL/ref=sr_1_9?dib=eyJ2IjoiMSJ9.8bNRNymO0C7ADY51qa9Kgguy1OfqTT0N7G5_COf2HPLmSWwP-Scn_bzxpij7LYkDokaBzH5jVocZAY3cbE3sdImbrC4ziISzbExJiABYrDTNTtVapYYuYXu3UUiGCaBwpetgRpiK7lHbkq0CcAZ-ChWIT0RI6KfB7AVKuDf67XCLirxZS39jr-vKkDSzTKW0TW9I9_YqaQqQw4XSlnM0j1ZxWTwodAKsBu4WmBSbJZiM2RgO9QmJBiY4NnHtu07NwIlRLJTdHNNJ0a_xEEUgEOq_I13F-atLM1YR9TbG5Mk.r7PmyImQVyL0WsXKaHOvkDDB8cSvaPOenZSj1re8lQE&dib_tag=se&qid=1728143495&s=apparel&sr=1-9
