classificacao,marca,plataforma,preco,qtd_classificacao,titulo,url
3.7,Genérica,Mercado Livre,"177,02",(6),Vestido De Jeans Longo E Solto Feminino De Manga Curta [u],https://produto.mercadolivre.com.br/MLB-4040033564-vestido-de-jeans-longo-e-solto-feminino-de-manga-curta-u-_JM?searchVariation=178728073784
4.6,New Look,Mercado Livre,"92,57",(599),Vestido Longo Luxo Jeans Com Babada Na Manga ,https://produto.mercadolivre.com.br/MLB-3506914679-vestido-longo-luxo-jeans-com-babada-na-manga-_JM?searchVariation=179194740882
4.6,Stillger Jeans,Mercado Livre,"78,90",(2211),Jaqueta Jeans Feminina Sem Lycra Curta Jaquetinha Destroyed,https://produto.mercadolivre.com.br/MLB-3138436207-jaqueta-jeans-feminina-sem-lycra-curta-jaquetinha-destroyed-_JM?searchVariation=181678940555
N/A,Coca-Cola,Mercado Livre,"199,99",0,Tênis Feminino Jeans Daytona Leve Azul Confortável Original,https://produto.mercadolivre.com.br/MLB-4155361728-tnis-feminino-jeans-daytona-leve-azul-confortavel-original-_JM?searchVariation=180412012721
4.5,Stillger Jeans,Mercado Livre,"59,90",(3082),Short Jeans Feminino Cintura Alta Com Lycra Barra Desfiada,https://produto.mercadolivre.com.br/MLB-3168301568-short-jeans-feminino-cintura-alta-com-lycra-barra-desfiada-_JM?searchVariation=179367853499
4.3,Hering,Mercado Livre,"199,99",(80),Calça Jeans Masculina Regular Soft Touch Hering,https://produto.mercadolivre.com.br/MLB-1818030181-calca-jeans-masculina-regular-soft-touch-hering-_JM?searchVariation=185271634277
4.7,Thamuz,Mercado Livre,"149,99",(212),Jaqueta Masculina Jeans Super Promoção,https://produto.mercadolivre.com.br/MLB-1298968619-jaqueta-masculina-jeans-super-promoco-_JM?searchVariation=174696812237
5.0,Levi's,Mercado Livre,"419,90",(8),Camisa Jeans Levis Classic Western Standard  Ml 857450074,https://produto.mercadolivre.com.br/MLB-3457912297-camisa-jeans-levis-classic-western-standard-ml-857450074-_JM?searchVariation=180057949659
N/A,Youcom,Mercado Livre,"239,90",0,Calça Jeans Cintura Baixa Barra Dobrada,https://produto.mercadolivre.com.br/MLB-3644318165-calca-jeans-cintura-baixa-barra-dobrada-_JM?searchVariation=182330211845
5.0,Genérica,Mercado Livre,"182,43",(2),"Mochila Feminina Casual De Jeans, Mochila Escolar Mista",https://produto.mercadolivre.com.br/MLB-3810632092-mochila-feminina-casual-de-jeans-mochila-escolar-mista-_JM?searchVariation=182537748263
5.0,Universal,Mercado Livre,"175,47",(3),Jaqueta Jeans Feminina De Lapela Solta E Rasgada,https://produto.mercadolivre.com.br/MLB-3755221520-jaqueta-jeans-feminina-de-lapela-solta-e-rasgada-_JM?searchVariation=178821188777
4.5,Hering,Mercado Livre,"159,99",(125),Calça Feminina Jeans Skinny Hering,https://produto.mercadolivre.com.br/MLB-2047839924-calca-feminina-jeans-skinny-hering-_JM?searchVariation=185234791607
N/A,Colcci,Mercado Livre,"349,99",0,Calça Jeans Colcci Alex Slin Azul Indigo - Masculina,https://produto.mercadolivre.com.br/MLB-3849696207-calca-jeans-colcci-alex-slin-azul-indigo-masculina-_JM?searchVariation=184862437121
N/A,Youcom,Mercado Livre,"159,90",0,Cropped Jeans Cinza Sem Alças,https://produto.mercadolivre.com.br/MLB-4912107218-cropped-jeans-cinza-sem-alcas-_JM?searchVariation=181119107288
4.6,Sawary Jeans,Mercado Livre,"170,59",(2356),Calça Jeans Feminina Super Lipo Preta Sawary,https://produto.mercadolivre.com.br/MLB-1977720128-calca-jeans-feminina-super-lipo-preta-sawary-_JM?searchVariation=94008937615
3.3,Genérica,Mercado Livre,"160,59",(3),Vestido Longo Solto Jeans Feminino Manga Curta,https://produto.mercadolivre.com.br/MLB-3252233175-vestido-longo-solto-jeans-feminino-manga-curta-_JM?searchVariation=177005860306
N/A,Marca não encontrada,Mercado Livre,"00,00",0,,https://www.mercadolivre.com.br/gz/account-verification
4.6,BellaBonita,Mercado Livre,"78,90",(2041),Calça Wide Leg Jeans Pantalona Destroyed Rasgado Lançamento,https://produto.mercadolivre.com.br/MLB-2675558285-calca-wide-leg-jeans-pantalona-destroyed-rasgado-lancamento-_JM?searchVariation=174630044909
4.7,Bellatrix Modas,Mercado Livre,"180,50",(48),Vestido Manga Longa Inverno Jeans Feminino Camisão,https://produto.mercadolivre.com.br/MLB-3365166233-vestido-manga-longa-inverno-jeans-feminino-camiso-_JM?searchVariation=178877828587
5.0,Lez a Lez,Mercado Livre,"449,90",(1),Calça Jeans Pantacourt Com Cintura Super Alta,https://produto.mercadolivre.com.br/MLB-4700542966-calca-jeans-pantacourt-com-cintura-super-alta-_JM?searchVariation=182846831717
4.6,HNO Jeans,Mercado Livre,"169,90",(35),Saia Jeans Longa Conjunto Saia E Cropped Tendência 2021,https://produto.mercadolivre.com.br/MLB-1967104780-saia-jeans-longa-conjunto-saia-e-cropped-tendncia-2021-_JM?searchVariation=92870010275
4.6,Patria Brasil,Mercado Livre,"149,90",(530),Calça Jeans Feminina Skinny Lycra Detalhes Strass Brilhantes,https://produto.mercadolivre.com.br/MLB-3545064033-calca-jeans-feminina-skinny-lycra-detalhes-strass-brilhantes-_JM?searchVariation=179480187690
5.0,Levi's,Mercado Livre,"639,90",(2),Calça Jeans Levi's® 505 Regular Lavagem Clara Lb5055017,https://produto.mercadolivre.com.br/MLB-5016494274-calca-jeans-levis-505-regular-lavagem-clara-lb5055017-_JM?searchVariation=184444255787
4.5,BellaBonita,Mercado Livre,"78,80",(3137),Calça Jeans Wideleg Pantalona Premium Cintura Alta Blogueira,https://produto.mercadolivre.com.br/MLB-2119480539-calca-jeans-wideleg-pantalona-premium-cintura-alta-blogueira-_JM?searchVariation=174465255117
N/A,Coca-Cola,Mercado Livre,"349,99",0,Tênis Coca Cola March Twill Jeans - Feminino,https://produto.mercadolivre.com.br/MLB-4931232090-tnis-coca-cola-march-twill-jeans-feminino-_JM?searchVariation=183842513547
5.0,Colcci,Mercado Livre,"329,99",(1),Bermuda Colcci Jeans Davi Indigo Shape Reta Cós Reforçado,https://produto.mercadolivre.com.br/MLB-5004948982-bermuda-colcci-jeans-davi-indigo-shape-reta-cos-reforcado-_JM?searchVariation=181399416778
4.9,DAZUKAS CLOTHING,Mercado Livre,"229,90",(42),Conjunto Saia  E Cropped Longo Jeans,https://produto.mercadolivre.com.br/MLB-3439881539-conjunto-saia-e-cropped-longo-jeans-_JM?searchVariation=178695686884
5.0,Levi's,Mercado Livre,"639,90",(2),Calça Jeans Levi's® 512 Slim Taper Lavagem Média Lb5125010,https://produto.mercadolivre.com.br/MLB-3824823333-calca-jeans-levis-512-slim-taper-lavagem-media-lb5125010-_JM?searchVariation=181458469858
4.7,Credencial Jeans,Mercado Livre,"57,90",(466),Saia Jeans Feminina Longa Midi Evangélica Cintura Alta,https://produto.mercadolivre.com.br/MLB-4885404826-saia-jeans-feminina-longa-midi-evangelica-cintura-alta-_JM?searchVariation=183625239819
5.0,Sawary,Mercado Livre,"190,47",(1),Calça Jeans Feminina Sawary Wide Leg,https://produto.mercadolivre.com.br/MLB-3830864515-calca-jeans-feminina-sawary-wide-leg-_JM?searchVariation=181496110646
5.0,Ecolife Jeans,Mercado Livre,"289,99",(1),Saia Jeans Longa Babados Ecolife,https://produto.mercadolivre.com.br/MLB-2053290751-saia-jeans-longa-babados-ecolife-_JM?searchVariation=173800436492
4.1,Genérica,Mercado Livre,"132,83",(10),Colete Feminino Sem Mangas Colete Jeans Curto,https://produto.mercadolivre.com.br/MLB-4118789976-colete-feminino-sem-mangas-colete-jeans-curto-_JM?searchVariation=178967616592
4.3,Sawary,Mercado Livre,"120,99",(9),Top Jeans De Alça Com Elastano Sawary ,https://produto.mercadolivre.com.br/MLB-3541497977-top-jeans-de-alca-com-elastano-sawary-_JM?searchVariation=179446248336
4.6,Evolução Jeans,Mercado Livre,"78,99",(6321),Calça Wide Leg Jeans Pantalona Destroyed Rasgado Lançamen Nf,https://produto.mercadolivre.com.br/MLB-2739901614-calca-wide-leg-jeans-pantalona-destroyed-rasgado-lancamen-nf-_JM?searchVariation=174932503193
N/A,Levi's,Mercado Livre,"429,90",0,Camisa Levi's® Teodora Western Preta Manga Longa A72440002,https://produto.mercadolivre.com.br/MLB-4551705908-camisa-levis-teodora-western-preta-manga-longa-a72440002-_JM?searchVariation=182327316013
N/A,New Love,Mercado Livre,"83,47",0,Calça Jeans Feminina Flare Com Lycra Levanta Bumbum Confort,https://produto.mercadolivre.com.br/MLB-3841582591-calca-jeans-feminina-flare-com-lycra-levanta-bumbum-confort-_JM?searchVariation=184708563007
4.4,Ecolife Jeans,Mercado Livre,"287,90",(7),Saia Jeans Longa Com Fenda,https://produto.mercadolivre.com.br/MLB-1450394555-saia-jeans-longa-com-fenda-_JM?searchVariation=182157992193
4.0,Pellini Fashion,Mercado Livre,"47,97",(1),Jaqueta Jeans Feminino Cor Em Promoção Queima De Estoque,https://produto.mercadolivre.com.br/MLB-3784401851-jaqueta-jeans-feminino-cor-em-promoco-queima-de-estoque-_JM?searchVariation=181122177064
N/A,Youcom,Mercado Livre,"159,90",0,Short Cintura Baixa Jeans Cinza,https://produto.mercadolivre.com.br/MLB-5011781678-short-cintura-baixa-jeans-cinza-_JM?searchVariation=184483339665
N/A,P&G Jeans,Mercado Livre,"89,99",0,Calça Masculina Jeans Skinny Algodão Lisa Bom Caimento,https://produto.mercadolivre.com.br/MLB-3840990081-calca-masculina-jeans-skinny-algodo-lisa-bom-caimento-_JM?searchVariation=184701110523
